Warning: 100 points required, but 125 points sampled.
Warning: 10000 points required, but 12500 points sampled.
Compiling model...
'compile' took 3.656231 s

Training model...

Step      Train loss                        Test loss                         Test metric
0         [3.99e-01, 1.76e+02, 5.96e-02]    [2.77e-01, 1.76e+02, 5.96e-02]    []

Best model at step 0:
  train loss: 1.77e+02
  test loss: 1.77e+02
  test metric: []

'train' took 2.574109 s

Compiling model...
'compile' took 0.001464 s

Training model...

Step      Train loss                        Test loss                         Test metric
7400      [2.23e-02, 3.70e-02, 4.09e-02]    [8.85e-03, 3.70e-02, 4.09e-02]    []
7500      [1.99e-02, 3.60e-02, 4.06e-02]    [7.98e-03, 3.60e-02, 4.06e-02]    []
7600      [2.00e-02, 3.59e-02, 4.03e-02]    [7.88e-03, 3.59e-02, 4.03e-02]    []
7700      [2.21e-02, 3.66e-02, 4.05e-02]    [9.26e-03, 3.66e-02, 4.05e-02]    []
7800      [1.97e-02, 3.55e-02, 4.02e-02]    [7.79e-03, 3.55e-02, 4.02e-02]    []
7900      [1.98e-02, 3.54e-02, 4.01e-02]    [8.00e-03, 3.54e-02, 4.01e-02]    []
8000      [1.95e-02, 3.51e-02, 3.99e-02]    [7.57e-03, 3.51e-02, 3.99e-02]    []
8100      [1.89e-02, 3.47e-02, 4.00e-02]    [7.31e-03, 3.47e-02, 4.00e-02]    []
8200      [1.88e-02, 3.44e-02, 4.00e-02]    [7.29e-03, 3.44e-02, 4.00e-02]    []
8300      [1.98e-02, 3.48e-02, 4.01e-02]    [8.44e-03, 3.48e-02, 4.01e-02]    []
8400      [1.85e-02, 3.40e-02, 3.98e-02]    [7.12e-03, 3.40e-02, 3.98e-02]    []
8500      [1.90e-02, 3.38e-02, 3.98e-02]    [7.18e-03, 3.38e-02, 3.98e-02]    []
8600      [1.80e-02, 3.37e-02, 3.99e-02]    [7.10e-03, 3.37e-02, 3.99e-02]    []
8700      [3.07e-02, 3.96e-02, 4.07e-02]    [1.73e-02, 3.96e-02, 4.07e-02]    []
8800      [1.75e-02, 3.31e-02, 3.96e-02]    [6.67e-03, 3.31e-02, 3.96e-02]    []
8900      [6.78e-02, 6.01e-02, 4.33e-02]    [5.55e-02, 6.01e-02, 4.33e-02]    []
9000      [1.75e-02, 3.25e-02, 3.95e-02]    [6.63e-03, 3.25e-02, 3.95e-02]    []
9100      [1.69e-02, 3.24e-02, 3.95e-02]    [6.57e-03, 3.24e-02, 3.95e-02]    []
9200      [1.70e-02, 3.21e-02, 3.94e-02]    [6.51e-03, 3.21e-02, 3.94e-02]    []
9300      [4.56e-02, 4.61e-02, 4.15e-02]    [3.20e-02, 4.61e-02, 4.15e-02]    []
9400      [1.64e-02, 3.18e-02, 3.93e-02]    [6.36e-03, 3.18e-02, 3.93e-02]    []
9500      [1.90e-02, 3.32e-02, 3.92e-02]    [9.18e-03, 3.32e-02, 3.92e-02]    []
9600      [1.66e-02, 3.14e-02, 3.92e-02]    [6.25e-03, 3.14e-02, 3.92e-02]    []
9700      [1.63e-02, 3.10e-02, 3.92e-02]    [6.32e-03, 3.10e-02, 3.92e-02]    []
9800      [1.64e-02, 3.10e-02, 3.91e-02]    [6.50e-03, 3.10e-02, 3.91e-02]    []
9900      [1.63e-02, 3.06e-02, 3.90e-02]    [6.16e-03, 3.06e-02, 3.90e-02]    []
10000     [1.57e-02, 3.05e-02, 3.89e-02]    [6.06e-03, 3.05e-02, 3.89e-02]    []
10100     [1.58e-02, 3.02e-02, 3.89e-02]    [6.13e-03, 3.02e-02, 3.89e-02]    []
10200     [1.56e-02, 3.02e-02, 3.89e-02]    [6.11e-03, 3.02e-02, 3.89e-02]    []
10300     [1.56e-02, 2.98e-02, 3.87e-02]    [5.99e-03, 2.98e-02, 3.87e-02]    []
10400     [1.54e-02, 2.96e-02, 3.88e-02]    [5.97e-03, 2.96e-02, 3.88e-02]    []
10500     [3.73e-02, 3.99e-02, 4.01e-02]    [2.65e-02, 3.99e-02, 4.01e-02]    []
10600     [1.50e-02, 2.92e-02, 3.86e-02]    [5.82e-03, 2.92e-02, 3.86e-02]    []
10700     [1.50e-02, 2.91e-02, 3.86e-02]    [5.83e-03, 2.91e-02, 3.86e-02]    []
10800     [1.53e-02, 2.90e-02, 3.85e-02]    [5.86e-03, 2.90e-02, 3.85e-02]    []
10900     [1.53e-02, 2.88e-02, 3.83e-02]    [5.90e-03, 2.88e-02, 3.83e-02]    []
11000     [1.52e-02, 2.86e-02, 3.83e-02]    [6.00e-03, 2.86e-02, 3.83e-02]    []
11100     [1.48e-02, 2.83e-02, 3.85e-02]    [5.74e-03, 2.83e-02, 3.85e-02]    []
11200     [1.50e-02, 2.81e-02, 3.83e-02]    [5.79e-03, 2.81e-02, 3.83e-02]    []
11300     [1.86e-02, 3.00e-02, 3.83e-02]    [8.84e-03, 3.00e-02, 3.83e-02]    []
11400     [1.48e-02, 2.79e-02, 3.82e-02]    [5.77e-03, 2.79e-02, 3.82e-02]    []
11500     [1.48e-02, 2.78e-02, 3.81e-02]    [5.76e-03, 2.78e-02, 3.81e-02]    []
11600     [1.45e-02, 2.75e-02, 3.80e-02]    [5.62e-03, 2.75e-02, 3.80e-02]    []
11700     [1.46e-02, 2.73e-02, 3.79e-02]    [5.73e-03, 2.73e-02, 3.79e-02]    []
11800     [1.51e-02, 2.74e-02, 3.79e-02]    [6.02e-03, 2.74e-02, 3.79e-02]    []
11900     [1.50e-02, 2.69e-02, 3.78e-02]    [5.72e-03, 2.69e-02, 3.78e-02]    []
12000     [1.44e-02, 2.68e-02, 3.78e-02]    [5.63e-03, 2.68e-02, 3.78e-02]    []
12100     [2.35e-02, 3.08e-02, 3.84e-02]    [1.42e-02, 3.08e-02, 3.84e-02]    []
12200     [1.45e-02, 2.66e-02, 3.77e-02]    [5.51e-03, 2.66e-02, 3.77e-02]    []
12300     [1.82e-02, 2.86e-02, 3.80e-02]    [9.19e-03, 2.86e-02, 3.80e-02]    []
12400     [1.42e-02, 2.63e-02, 3.77e-02]    [5.52e-03, 2.63e-02, 3.77e-02]    []
12500     [2.47e-02, 3.05e-02, 3.82e-02]    [1.56e-02, 3.05e-02, 3.82e-02]    []
12600     [1.43e-02, 2.60e-02, 3.75e-02]    [5.45e-03, 2.60e-02, 3.75e-02]    []
12700     [1.40e-02, 2.60e-02, 3.74e-02]    [5.50e-03, 2.60e-02, 3.74e-02]    []
12800     [1.40e-02, 2.58e-02, 3.73e-02]    [5.50e-03, 2.58e-02, 3.73e-02]    []
12900     [1.40e-02, 2.57e-02, 3.71e-02]    [5.52e-03, 2.57e-02, 3.71e-02]    []
13000     [1.41e-02, 2.56e-02, 3.71e-02]    [5.46e-03, 2.56e-02, 3.71e-02]    []
13100     [1.41e-02, 2.54e-02, 3.73e-02]    [5.35e-03, 2.54e-02, 3.73e-02]    []
13200     [1.39e-02, 2.55e-02, 3.71e-02]    [5.49e-03, 2.55e-02, 3.71e-02]    []
13300     [1.39e-02, 2.53e-02, 3.69e-02]    [5.39e-03, 2.53e-02, 3.69e-02]    []
13400     [1.38e-02, 2.52e-02, 3.70e-02]    [5.35e-03, 2.52e-02, 3.70e-02]    []
13500     [1.43e-02, 2.51e-02, 3.68e-02]    [5.41e-03, 2.51e-02, 3.68e-02]    []
13600     [7.10e-02, 5.16e-02, 3.99e-02]    [5.95e-02, 5.16e-02, 3.99e-02]    []
13700     [1.37e-02, 2.49e-02, 3.67e-02]    [5.33e-03, 2.49e-02, 3.67e-02]    []
13800     [1.44e-02, 2.48e-02, 3.67e-02]    [5.74e-03, 2.48e-02, 3.67e-02]    []
13900     [1.37e-02, 2.47e-02, 3.67e-02]    [5.31e-03, 2.47e-02, 3.67e-02]    []
14000     [1.34e-02, 2.45e-02, 3.67e-02]    [5.17e-03, 2.45e-02, 3.67e-02]    []
14100     [1.35e-02, 2.44e-02, 3.66e-02]    [5.32e-03, 2.44e-02, 3.66e-02]    []
14200     [1.36e-02, 2.45e-02, 3.65e-02]    [5.41e-03, 2.45e-02, 3.65e-02]    []
14300     [1.32e-02, 2.43e-02, 3.64e-02]    [5.26e-03, 2.43e-02, 3.64e-02]    []
14400     [1.34e-02, 2.42e-02, 3.64e-02]    [5.22e-03, 2.42e-02, 3.64e-02]    []
14500     [1.44e-02, 2.47e-02, 3.61e-02]    [6.09e-03, 2.47e-02, 3.61e-02]    []
14600     [1.33e-02, 2.39e-02, 3.64e-02]    [5.11e-03, 2.39e-02, 3.64e-02]    []
14700     [1.36e-02, 2.44e-02, 3.61e-02]    [5.83e-03, 2.44e-02, 3.61e-02]    []
14800     [1.29e-02, 2.38e-02, 3.62e-02]    [5.17e-03, 2.38e-02, 3.62e-02]    []
14900     [1.31e-02, 2.38e-02, 3.59e-02]    [5.23e-03, 2.38e-02, 3.59e-02]    []
15000     [1.34e-02, 2.38e-02, 3.60e-02]    [5.13e-03, 2.38e-02, 3.60e-02]    []
15100     [1.36e-02, 2.37e-02, 3.60e-02]    [5.17e-03, 2.37e-02, 3.60e-02]    []
15200     [1.28e-02, 2.35e-02, 3.58e-02]    [5.07e-03, 2.35e-02, 3.58e-02]    []
15300     [4.32e-02, 3.93e-02, 3.67e-02]    [3.25e-02, 3.93e-02, 3.67e-02]    []
15400     [1.30e-02, 2.33e-02, 3.57e-02]    [5.04e-03, 2.33e-02, 3.57e-02]    []
15500     [1.26e-02, 2.32e-02, 3.57e-02]    [5.00e-03, 2.32e-02, 3.57e-02]    []
15600     [1.31e-02, 2.32e-02, 3.56e-02]    [5.23e-03, 2.32e-02, 3.56e-02]    []
15700     [2.22e-02, 2.78e-02, 3.61e-02]    [1.39e-02, 2.78e-02, 3.61e-02]    []
15800     [1.26e-02, 2.29e-02, 3.54e-02]    [5.05e-03, 2.29e-02, 3.54e-02]    []
15900     [2.18e-02, 2.68e-02, 3.58e-02]    [1.36e-02, 2.68e-02, 3.58e-02]    []
16000     [1.24e-02, 2.27e-02, 3.53e-02]    [4.93e-03, 2.27e-02, 3.53e-02]    []
16100     [1.26e-02, 2.27e-02, 3.51e-02]    [4.94e-03, 2.27e-02, 3.51e-02]    []
