Warning: 100 points required, but 125 points sampled.
Warning: 10000 points required, but 12500 points sampled.
Compiling model...
'compile' took 3.059942 s

Training model...

Step      Train loss                        Test loss                         Test metric
0         [4.92e+00, 4.80e+02, 1.81e-01]    [3.95e+00, 4.80e+02, 1.81e-01]    []

Best model at step 0:
  train loss: 4.85e+02
  test loss: 4.84e+02
  test metric: []

'train' took 3.037069 s

Compiling model...
'compile' took 0.001218 s

Training model...

Step      Train loss                        Test loss                         Test metric
6900      [5.76e-03, 2.30e-03, 5.14e-03]    [3.70e-03, 2.30e-03, 5.14e-03]    []
7000      [5.84e-03, 2.42e-03, 5.07e-03]    [3.66e-03, 2.42e-03, 5.07e-03]    []
7100      [5.82e-03, 2.34e-03, 5.07e-03]    [3.53e-03, 2.34e-03, 5.07e-03]    []
7200      [5.70e-03, 2.16e-03, 5.02e-03]    [3.34e-03, 2.16e-03, 5.02e-03]    []
7300      [5.47e-03, 2.18e-03, 4.91e-03]    [3.20e-03, 2.18e-03, 4.91e-03]    []
7400      [5.49e-03, 2.06e-03, 4.98e-03]    [3.09e-03, 2.06e-03, 4.98e-03]    []
7500      [5.24e-03, 2.04e-03, 4.92e-03]    [2.99e-03, 2.04e-03, 4.92e-03]    []
7600      [5.29e-03, 2.56e-03, 4.86e-03]    [3.12e-03, 2.56e-03, 4.86e-03]    []
7700      [5.26e-03, 1.88e-03, 4.71e-03]    [2.92e-03, 1.88e-03, 4.71e-03]    []
7800      [5.09e-03, 1.88e-03, 4.62e-03]    [2.83e-03, 1.88e-03, 4.62e-03]    []
7900      [4.94e-03, 2.00e-03, 4.55e-03]    [2.78e-03, 2.00e-03, 4.55e-03]    []
8000      [5.04e-03, 1.74e-03, 4.55e-03]    [2.68e-03, 1.74e-03, 4.55e-03]    []
8100      [4.75e-03, 1.71e-03, 4.53e-03]    [2.68e-03, 1.71e-03, 4.53e-03]    []
8200      [5.90e-03, 2.02e-03, 4.59e-03]    [2.69e-03, 2.02e-03, 4.59e-03]    []
8300      [5.66e-03, 1.72e-03, 4.64e-03]    [2.63e-03, 1.72e-03, 4.64e-03]    []
8400      [4.82e-03, 1.72e-03, 4.37e-03]    [2.55e-03, 1.72e-03, 4.37e-03]    []
8500      [5.52e-03, 4.02e-03, 4.67e-03]    [2.99e-03, 4.02e-03, 4.67e-03]    []
8600      [4.67e-03, 1.64e-03, 4.36e-03]    [2.51e-03, 1.64e-03, 4.36e-03]    []
8700      [5.41e-03, 4.04e-03, 4.76e-03]    [2.99e-03, 4.04e-03, 4.76e-03]    []
8800      [4.56e-03, 1.59e-03, 4.31e-03]    [2.47e-03, 1.59e-03, 4.31e-03]    []
8900      [4.98e-03, 1.62e-03, 4.31e-03]    [2.50e-03, 1.62e-03, 4.31e-03]    []
9000      [5.49e-03, 1.56e-03, 4.34e-03]    [2.41e-03, 1.56e-03, 4.34e-03]    []
9100      [4.56e-03, 1.53e-03, 4.27e-03]    [2.39e-03, 1.53e-03, 4.27e-03]    []
9200      [5.36e-03, 2.74e-03, 4.59e-03]    [2.64e-03, 2.74e-03, 4.59e-03]    []
9300      [4.45e-03, 1.67e-03, 4.24e-03]    [2.37e-03, 1.67e-03, 4.24e-03]    []
9400      [4.29e-03, 1.63e-03, 4.20e-03]    [2.36e-03, 1.63e-03, 4.20e-03]    []
9500      [4.43e-03, 1.95e-03, 4.21e-03]    [2.43e-03, 1.95e-03, 4.21e-03]    []
9600      [4.08e-03, 1.41e-03, 4.18e-03]    [2.31e-03, 1.41e-03, 4.18e-03]    []
9700      [4.54e-03, 1.90e-03, 4.17e-03]    [2.39e-03, 1.90e-03, 4.17e-03]    []
9800      [4.43e-03, 1.70e-03, 4.13e-03]    [2.38e-03, 1.70e-03, 4.13e-03]    []
9900      [4.76e-03, 3.90e-03, 4.37e-03]    [2.78e-03, 3.90e-03, 4.37e-03]    []
10000     [4.11e-03, 1.38e-03, 4.10e-03]    [2.28e-03, 1.38e-03, 4.10e-03]    []
10100     [4.25e-03, 1.76e-03, 4.07e-03]    [2.26e-03, 1.76e-03, 4.07e-03]    []
10200     [4.20e-03, 2.38e-03, 4.19e-03]    [2.52e-03, 2.38e-03, 4.19e-03]    []
10300     [4.38e-03, 2.68e-03, 4.14e-03]    [2.47e-03, 2.68e-03, 4.14e-03]    []
10400     [5.19e-03, 6.56e-03, 4.61e-03]    [3.30e-03, 6.56e-03, 4.61e-03]    []
10500     [3.73e-03, 1.28e-03, 3.90e-03]    [2.21e-03, 1.28e-03, 3.90e-03]    []
10600     [4.12e-03, 1.21e-03, 3.94e-03]    [2.21e-03, 1.21e-03, 3.94e-03]    []
10700     [4.25e-03, 2.90e-03, 4.15e-03]    [2.63e-03, 2.90e-03, 4.15e-03]    []
10800     [4.03e-03, 1.36e-03, 3.82e-03]    [2.21e-03, 1.36e-03, 3.82e-03]    []
10900     [3.97e-03, 1.55e-03, 3.89e-03]    [2.24e-03, 1.55e-03, 3.89e-03]    []
